Features, Ratio
prosecution,             51.7 
suspect,             45.0 
plea,             41.7 
sentencing,             38.3 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
crimes,             30.6 
prison,             29.4 
defendants,             29.3 
victim,             28.8 
crime,             28.3 
probation,             28.3 
witnesses,             27.0 
arrest,             26.5 
misdemeanor,             26.4 
bail,             81.7 
gang,             69.0 
prosecutor,             53.0 
suspect,             45.0 
plea,             41.7 
violent,             39.0 
innocence,             38.3 
addicts,             35.0 
arrested,             32.3 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
arrest,             31.4 
prosecution,             31.0 
crimes,             30.6 
prison,             29.4 
victim,             28.8 
indictments,             27.0 
misdemeanor,             26.4 
gang,             69.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
plea,             41.7 
arrest,             38.3 
misdemeanor,             37.0 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
crimes,             30.6 
prison,             29.4 
victim,             28.8 
probation,             28.3 
violent,             27.9 
arrested,             27.3 
sentence,             26.4 
bail,             81.7 
gang,             69.0 
prosecutor,             53.0 
suspect,             45.0 
convictions,             41.7 
plea,             41.7 
arrested,             39.4 
crimes,             39.3 
violent,             39.0 
arrest,             38.3 
sentencing,             38.3 
misdemeanor,             37.0 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
prison,             29.4 
victim,             28.8 
bail,             81.7 
gang,             69.0 
violent,             65.0 
prosecutor,             53.0 
suspect,             45.0 
arrest,             38.3 
addicts,             35.0 
victim,             34.1 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
crimes,             30.6 
prison,             29.4 
misdemeanor,             26.4 
convictions,             25.0 
plea,             25.0 
arrested,             23.7 
domestic,             23.0 
gang,            115.0 
bail,             81.7 
prosecutor,             53.0 
sentencing,             38.3 
addicts,             35.0 
victim,             34.1 
fatal,             31.7 
prosecution,             31.0 
crimes,             30.6 
violent,             27.9 
arrested,             27.3 
arrest,             26.5 
killing,             26.4 
misdemeanor,             26.4 
convictions,             25.0 
plea,             25.0 
spate,             25.0 
surveillance,             25.0 
prison,             24.1 
domestic,             23.0 
bail,             81.7 
gang,             69.0 
prosecutor,             53.0 
crimes,             39.3 
sentencing,             38.3 
misdemeanor,             37.0 
addicts,             35.0 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
arrest,             31.4 
prosecution,             31.0 
victim,             28.8 
investigator,             28.3 
violent,             27.9 
arrested,             27.3 
sentence,             26.4 
convictions,             25.0 
plea,             25.0 
spate,             25.0 
gang,             69.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
plea,             41.7 
innocence,             38.3 
sentencing,             38.3 
addicts,             35.0 
victim,             34.1 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
crimes,             30.6 
prison,             29.4 
violent,             27.9 
arrested,             27.3 
arrest,             26.5 
misdemeanor,             26.4 
gang,             69.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
convictions,             41.7 
sentencing,             38.3 
misdemeanor,             37.0 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
crimes,             30.6 
defendants,             29.3 
victim,             28.8 
violent,             27.9 
arrest,             26.5 
sentence,             26.4 
plea,             25.0 
gang,             69.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
convictions,             41.7 
plea,             41.7 
crimes,             39.3 
sentencing,             38.3 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
arrest,             31.4 
prosecution,             31.0 
victim,             28.8 
violent,             27.9 
misdemeanor,             26.4 
surveillance,             25.0 
prison,             24.1 
gang,            115.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
crimes,             39.3 
sentencing,             38.3 
victim,             34.1 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
arrest,             31.4 
prosecution,             31.0 
violent,             27.9 
arrested,             27.3 
misdemeanor,             26.4 
sentence,             26.4 
convictions,             25.0 
crime,             25.0 
plea,             25.0 
prosecutor,             88.3 
gang,             69.0 
crimes,             55.0 
bail,             49.0 
suspect,             45.0 
violent,             39.0 
sentencing,             38.3 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
victim,             28.8 
arrest,             26.5 
misdemeanor,             26.4 
convictions,             25.0 
narcan,             25.0 
plea,             25.0 
spate,             25.0 
gang,            115.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
innocence,             38.3 
sentencing,             38.3 
misdemeanor,             37.0 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
arrest,             31.4 
prosecution,             31.0 
crimes,             30.6 
prison,             29.4 
victim,             28.8 
crime,             28.3 
violent,             27.9 
